currency,estruct,ecase,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FAM,A1_125,AT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,BE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,BG	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,CH	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,CZ	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,DE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,DK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EA17	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EA18	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EA19	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EE	: n	: n	: n	: n	: n	: 	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,ES	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EU15	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EU25	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EU27	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,EU28	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,FI	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,FR	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,HR	: 	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
